date,wins,x_g,deep,ppda_allowed,x_g_a,missed,ppda,h_a,team,pts,xpts,result,npx_g_d,deep_allowed,npx_g_a,scored,loses,draws,season,npx_g
2019-11-08 20:00:00,1,1.36017,3,"{att:144,def:19}",0.62104,0,"{att:342,def:22}",a,Watford,3,1.9644999999999999129585148693877272307872772216796875,w,0.7391300000000001,11,0.62104,2,0,0,2019-20,1.36017
2019-11-23 15:00:00,0,0.902384,5,"{att:186,def:16}",2.66281,3,"{att:113,def:19}",h,Watford,0,0.27500000000000002220446049250313080847263336181640625,l,-0.999256,2,1.90164,0,1,0,2019-20,0.902384
2019-11-30 17:30:00,0,0.504005,5,"{att:136,def:18}",1.9671,2,"{att:284,def:20}",a,Watford,0,0.23099999999999998312461002569762058556079864501953125,l,-1.463095,8,1.9671,1,1,0,2019-20,0.504005
2019-12-04 19:30:00,0,0.199733,4,"{att:151,def:21}",2.28735,2,"{att:325,def:24}",a,Watford,0,0.0990999999999999936495242991441045887768268585205078125,l,-1.326457,9,1.52619,0,1,0,2019-20,0.199733
2019-12-07 15:00:00,0,1.57132,7,"{att:181,def:20}",0.210746,0,"{att:231,def:22}",h,Watford,1,2.5715000000000003410605131648480892181396484375,d,1.3605740000000002,2,0.210746,0,0,1,2019-20,1.57132
2019-12-14 12:30:00,0,1.01166,7,"{att:131,def:26}",1.56674,2,"{att:391,def:22}",a,Watford,0,0.9172000000000000152766688188421539962291717529296875,l,-0.55508,10,1.56674,0,1,0,2019-20,1.01166
2019-12-22 14:00:00,1,1.59291,8,"{att:130,def:24}",1.5309,0,"{att:284,def:32}",h,Watford,3,1.4184000000000001051603248924948275089263916015625,w,-0.6991599999999999,8,1.5309,2,0,0,2019-20,0.83174
2019-12-26 15:00:00,0,0.596611,6,"{att:198,def:15}",2.04481,1,"{att:286,def:14}",a,Watford,1,0.32389999999999996571631299957516603171825408935546875,d,-0.6870289999999999,6,1.28364,1,0,1,2019-20,0.596611
2019-12-28 15:00:00,1,3.25314,8,"{att:208,def:13}",0.610997,0,"{att:219,def:25}",h,Watford,3,2.837099999999999955235807647113688290119171142578125,w,1.8809729999999998,6,0.610997,3,0,0,2019-20,2.49197
2020-01-01 15:00:00,1,1.07053,7,"{att:169,def:20}",1.23252,1,"{att:342,def:17}",h,Watford,3,1.2321999999999999619859636368346400558948516845703125,w,-0.16199000000000008,7,1.23252,2,0,0,2019-20,1.07053
2020-01-12 14:00:00,1,2.29827,7,"{att:196,def:15}",0.320447,0,"{att:286,def:25}",a,Watford,3,2.724299999999999943867123874952085316181182861328125,w,1.977823,5,0.320447,3,0,0,2019-20,2.29827
2020-01-18 12:30:00,0,2.39174,9,"{att:124,def:17}",1.76697,0,"{att:275,def:30}",h,Watford,1,1.8390999999999999570121644865139387547969818115234375,d,-0.13639999999999985,13,1.76697,0,0,1,2019-20,1.63057
2020-01-21 19:30:00,0,1.81101,1,"{att:142,def:23}",1.06739,2,"{att:306,def:33}",a,Watford,0,2.024900000000000144240175359300337731838226318359375,l,0.74362,6,1.06739,1,1,0,2019-20,1.81101
2020-02-01 15:00:00,0,0.919248,2,"{att:174,def:21}",2.70178,3,"{att:231,def:25}",h,Watford,0,0.2358000000000000095923269327613525092601776123046875,l,-1.7825319999999998,5,2.70178,2,1,0,2019-20,0.919248
2020-02-08 17:30:00,0,0.280048,3,"{att:143,def:20}",0.76201,1,"{att:338,def:22}",a,Watford,1,0.7739000000000000323296944770845584571361541748046875,d,-0.48196199999999995,7,0.76201,1,0,1,2019-20,0.280048
2020-02-23 14:00:00,0,0.294956,3,"{att:202,def:22}",2.5042,3,"{att:349,def:38}",a,Watford,0,0.1311999999999999833022457096376456320285797119140625,l,-1.448074,8,1.74303,0,1,0,2019-20,0.294956
